ticker,current_price,base_dcf_value,mc_mean_iv,growth_rate,discount_rate,beta,revenue_growth,fcf_yield,dcf_over_price,mc_mean_over_price,mc_std_over_price,prob_undervalued,net_cash_per_share_over_price,margin_vs_undervalued_threshold,threshold_verdict,call_date
ONGC.NS,241.73,2335.805786290622,2707.0995516811236,0.18681635113466344,0.064,0.8,0.019,0.19312155014765037,9.66287091503174,11.198856375630347,4.909281391421743,1.0,-0.4571825408667303,10.198856375630346,UNDERVALUED,2026-07-08
COALINDIA.NS,428.65,2279.656677563216,2430.2697450716255,0.1458490923067366,0.064,0.8,0.162,0.11627172159632716,5.318223906597961,5.669589980337398,2.364247078205345,1.0,0.16160203177337518,4.669589980337397,UNDERVALUED,2026-07-08
ADANIPORTS.NS,1838.0,1074.0895686260662,1446.9446821603485,0.22218782224998113,0.064,0.8,0.265,0.011892147173285605,0.5843795259118968,0.7872386736454562,0.3582249228645211,0.2272,-0.13251131336878405,-0.21276132635454378,OVERVALUED,2026-07-08
JSWSTEEL.NS,1233.1,1177.6984752719918,1507.904592480238,0.07127224120739228,0.064,0.8,0.142,0.0348795824210408,0.9550713447992798,1.2228566965211567,0.473574579750086,0.6118,-0.17140100594659813,0.22285669652115658,UNDERVALUED,2026-07-08
HDFCLIFE.NS,570.25,8329.68619535357,8061.525223016384,0.3,0.064,0.8,-0.177,0.18035639922128097,14.607077940120245,14.13682634461444,6.1388195956675045,1.0,-0.010691006108846065,13.13682634461444,UNDERVALUED,2026-07-08
SBILIFE.NS,1822.5,10688.490648627156,11630.508088630275,0.06292956192153665,0.064,0.8,-0.822,0.18780113596781403,5.864741096640414,6.381623093898642,2.3661225955430067,1.0,0.017545010891697032,5.381623093898642,UNDERVALUED,2026-07-08
DIVISLAB.NS,6821.5,247.34634167955335,137.22266158268786,-0.1,0.064,0.8,0.095,0.0012038253471201962,0.03625981700206016,0.02011620048122669,0.007363924669858439,0.0,0.018813912791084575,-0.9798837995187734,OVERVALUED,2026-07-08
DRREDDY.NS,1359.5,331.5827919707288,366.7651631587964,-0.1,0.064,0.8,-0.116,0.01619158468278735,0.24390054576736211,0.2697794506500893,0.09928946516312125,0.0002,0.009251195614076505,-0.7302205493499107,OVERVALUED,2026-07-08
CIPLA.NS,1457.2,270.94057068915805,177.70357024087514,-0.1,0.064,0.8,-0.021,0.007311550348698245,0.18593231587232914,0.12194864825753166,0.04538393338929158,0.0,0.07997291958427383,-0.8780513517424684,OVERVALUED,2026-07-08
BRITANNIA.NS,5396.0,3656.088201161853,3962.5497261644387,0.09857086673766435,0.064,0.8,0.079,0.01851183441086019,0.6775552633732121,0.734349467413721,0.301132441280298,0.1628,0.004698530516811402,-0.26565053258627896,OVERVALUED,2026-07-08
EICHERMOT.NS,7545.0,6799.002598410855,7371.405237257306,0.1814760416406267,0.064,0.8,0.191,0.017042187724058442,0.9011269182784434,0.9769920791593514,0.43518294368943844,0.393,0.027039079732821415,-0.023007920840648642,FAIRLY VALUED,2026-07-08
HEROMOTOCO.NS,4945.2,29832.39104671357,28613.35258978946,0.3,0.064,0.8,0.302,0.07291079270664422,6.032595455535382,5.786086020745261,2.464920621274838,1.0,0.12322309018615572,4.786086020745261,UNDERVALUED,2026-07-08
BAJAJ-AUTO.NS,10181.0,547.8646189910805,1129.6968386912893,-0.1,0.064,0.8,0.37,0.006591997796149397,0.05381245643758772,0.11096128461755125,0.041037693956260377,0.0,-0.041719144043908016,-0.8890387153824488,OVERVALUED,2026-07-08
